ID,POI_ID,POI_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,LC_LO,LC_LA,BASE_DE
KCLANPO23N000023212,18909693,장흥천관여행사,60400,N,4680034023105880015,전라남도,장흥군,장평면,588-15,4680034023,4680034000,126.9766519,34.77477272,20231220
KCLANPO23N000025065,19878868,남한강산책로,60500,N,5113035024106500001,강원특별자치도,원주시,부론면,650-1,5113035024,5113035000,127.7496289,37.24544422,20231220
KCLANPO23N000025149,19879089,산악오징어체험장,60500,N,4783034032107110019,경상북도,고령군,다산면,711-19,4783034032,4783034000,128.4696432,35.81473548,20231220
KCLANPO23N000024547,19868910,해피아이,60500,N,4311410300120160000,충청북도,청주시 청원구,율량동,2016,4311410300,4311454000,127.4936331,36.66487009,20231220
KCLANPO23N000021850,18327933,에스제이드림즈,60400,N,2623010200108890009,부산광역시,부산진구,전포동,889-9,2623010200,2623060000,129.0629229,35.150187,20231220
KCLANPO23N000021883,18327987,필링투어,60400,N,2814010400105270009,인천광역시,동구,화평동,527-9,2814010400,2814052500,126.6316079,37.47737044,20231220
KCLANPO23N000024360,19868637,가평삼회생태복원시범지구탐방객센터,60500,N,4182032527101780002,경기도,가평군,청평면,178-2,4182032527,4182032500,127.3929198,37.69939591,20231220
KCLANPO23N000021989,18330985,코코코리아,60400,N,2811011800100870006,인천광역시,중구,항동7가,87-6,2811011800,2811052000,126.599415,37.45335706,20231220
KCLANPO23N000022171,18351615,주허브플랫폼,60400,N,2647010200120180112,부산광역시,연제구,연산동,2018-112,2647010200,2647070000,129.0866087,35.17141856,20231220
KCLANPO23N000022904,18860987,투어웨이,60400,N,1111012400100580000,서울특별시,종로구,수송동,58,1111012400,1111061500,126.9817799,37.57242939,20231220
KCLANPO23N000024287,19868511,봉화산공원서울유아숲체험현장,60500,N,1126010400100230004,서울특별시,중랑구,묵동,23-4,1126010400,1126062000,127.0850797,37.61492917,20231220
KCLANPO23N000024504,19868855,일주문,60500,N,5176036027200010000,강원특별자치도,평창군,진부면,산1,5176036027,5176036000,128.5972445,37.7254013,20231220
KCLANPO23N000024456,19868790,한라산철쭉제,60500,N,5011013900202200013,제주특별자치도,제주시,해안동,산220-13,5011013900,5011066000,126.4951085,33.39210936,20231220
KCLANPO23N000021977,18330460,트래볼루션,60400,N,1114010200100100000,서울특별시,중구,다동,10,1114010200,1114055000,126.9816257,37.56853814,20231220
KCLANPO23N000021902,18329387,투게더투어코리아,60400,N,1121510300102460014,서울특별시,광진구,구의동,246-14,1121510300,1121585000,127.0843785,37.53707107,20231220
KCLANPO23N000041824,21879824,연곡해수욕장관광지,60500,N,5115037023100990003,강원특별자치도,강릉시,연곡면,99-3,5115037023,5115037000,128.8537397,37.85885679,20231220
KCLANPO23N000024619,19869016,어울림남구,60500,N,2915512900109430001,광주광역시,남구,원산동,943-1,2915512900,2915573000,126.8467268,35.08911243,20231220
KCLANPO23N000021999,18331045,프렌즈자유여행,60400,N,1174010500103450009,서울특별시,강동구,길동,345-9,1174010500,1174068500,127.1439969,37.54101297,20231220
KCLANPO23N000024512,19868864,경남해양캠프,60500,N,4812312000104990000,경상남도,창원시 성산구,귀산동,499,4812312000,4812357000,128.6124001,35.16353209,20231220
KCLANPO23N000021842,18327923,댕쇼컴퍼니주식회사,60400,N,1168010100107070038,서울특별시,강남구,역삼동,707-38,1168010100,1168065000,127.0471576,37.50323691,20231220
KCLANPO23N000024318,19868564,쌍문공원서울유아숲체험현장,60500,N,1132010500200820000,서울특별시,도봉구,쌍문동,산82,1132010500,1132068100,127.029522,37.65279337,20231220
KCLANPO23N000024710,19869119,가리피리마을관광휴양지,60500,N,5183031033200010020,강원특별자치도,양양군,서면,산1-20,5183031033,5183031000,128.4461625,38.07774166,20231220
KCLANPO23N000024776,19869202,곶감체험방문자센터,60500,N,5115034022105070000,강원특별자치도,강릉시,강동면,507,5115034022,5115034000,128.9559125,37.71688459,20231220
KCLANPO23N000024544,19868906,행복한나드리,60500,N,4311211000102950000,충청북도,청주시 서원구,죽림동,295,4311211000,4311259000,127.443503,36.61329201,20231220
KCLANPO23N000024432,19868759,수옥정,60500,N,4376033025200860002,충청북도,괴산군,연풍면,산86-2,4376033025,4376033000,128.0282292,36.80669672,20231220
KCLANPO23N000021978,18330461,배움여행,60400,N,2650010400101200221,부산광역시,수영구,광안동,120-221,2650010400,2650076000,129.1148948,35.16130436,20231220
KCLANPO23N000021929,18329417,천홍국제,60400,N,1114011100100810000,서울특별시,중구,소공동,81,1114011100,1114052000,126.980012,37.56380979,20231220
KCLANPO23N000024686,19869092,장수물,60500,N,5011025325122690000,제주특별자치도,제주시,애월읍,2269,5011025325,5011025300,126.4019,33.45492501,20231220
KCLANPO23N000021871,18327968,플랜여행사,60400,N,4827010300112320000,경상남도,밀양시,교동,1232,4827010300,4827055000,128.7530193,35.50866594,20231220
KCLANPO23N000025074,19878878,명동리마을,60500,N,5172036027104610001,강원특별자치도,홍천군,남면,461-1,5172036027,5172036000,127.756649,37.63596742,20231220
KCLANPO23N000024948,19869396,창랑정,60500,N,4680025047100410001,전라남도,장흥군,장흥읍,41-1,4680025047,4680025000,126.8939516,34.6856654,20231220
KCLANPO23N000024312,19868556,장낙골포도고구마체험학습농장,60500,N,4139010800100470015,경기도,시흥시,매화동,47-15,4139010800,4139055000,126.8162707,37.42216536,20231220
