POI_ID,POI_NM,CTPRVN_NM,SIGNGU_NM,LC_LO,LC_LA
5727861,두물머리,경기도,양평군,127.3158921,37.53287407
21086106,광복동먹자골목,부산광역시,중구,129.028944,35.09937916
17459109,인현시장먹거리,서울특별시,중구,126.9951731,37.56235646
21085870,서현동먹자골목,경기도,성남시 분당구,127.1307317,37.38418368
21085603,부산민락횟집거리,부산광역시,수영구,129.1239966,35.15577858
20868047,수리단길,경기도,구리시,127.1431892,37.59930831
21085645,홍대앞걷고싶은거리,서울특별시,마포구,126.9242603,37.55594218
21085617,젊음의거리,부산광역시,중구,129.0294405,35.09994399
21085879,정자동먹자골목,경기도,성남시 분당구,127.1138448,37.36033474
16404013,분당가구거리,경기도,성남시 분당구,127.1018181,37.36256067
6430881,곱창골목,서울특별시,중구,127.0193915,37.57017614
21085700,봉제골목,서울특별시,종로구,127.0102876,37.57424283
14108883,동래금정마을,부산광역시,동래구,129.0642763,35.21195307
22112751,화음길,경기도,남양주시,127.3419357,37.60708188
21085902,청평호반매운탕촌,경기도,가평군,127.4251844,37.72239518
6430939,대학로거리,서울특별시,종로구,127.0020806,37.5838483
5039011,평촌로데오,경기도,안양시 동안구,126.9751852,37.39244492
16584545,수유리먹자골목,서울특별시,강북구,127.0268983,37.6402982
5966162,창동로데오거리,서울특별시,도봉구,127.0497448,37.65276638
21085873,풍동애니골윗길,경기도,고양시 일산동구,126.7935818,37.6762597
21085605,솔밭예술마을창작공예공방,부산광역시,해운대구,129.1623258,35.1645736
16839540,인사동문화의거리,서울특별시,종로구,126.9855759,37.57463374
17057736,식사동덤핑거리,경기도,고양시 일산동구,126.81935,37.69035703
6072837,문화패션거리,부산광역시,중구,129.0309565,35.09923223
21085523,의정부역행복로,경기도,의정부시,127.0482317,37.73936448
20868078,은평한옥마을,서울특별시,은평구,126.9395244,37.64124097
17726420,성수동수제화거리,서울특별시,성동구,127.0554321,37.54497696
21085690,방배동사이길,서울특별시,서초구,126.9902088,37.49452634
21085684,한화불꽃길,서울특별시,종로구,126.9880515,37.56817328
22563630,청와대,서울특별시,종로구,126.9749744,37.58673601
20125476,해물포장마차촌,부산광역시,기장군,129.2281981,35.2178677
16891532,창선동먹자골목,부산광역시,중구,129.0286956,35.09881987
16684234,북아현동가구거리,서울특별시,서대문구,126.9575746,37.55755678
21085945,공릉동국수거리,서울특별시,노원구,127.072598,37.62194141
21085627,달맞이미술의거리,부산광역시,해운대구,129.1721633,35.16096967
21085705,도화동상점가,서울특별시,마포구,126.9491508,37.54089132
8292816,오두산통일전망대,경기도,파주시,126.6770602,37.7730166
21085956,네팔음식거리,서울특별시,종로구,127.0121439,37.572956
21085615,만취길,부산광역시,부산진구,129.0603083,35.1561715
1200595,부대찌개거리,경기도,의정부시,127.0496284,37.74414044
21086182,고샅길행복마을,부산광역시,사상구,128.989033,35.16446703
21085951,왕십리맛골목,서울특별시,성동구,127.0405544,37.55950009
7231425,제부도해수욕장,경기도,화성시,126.6168964,37.16904953
16909438,천호공구거리,서울특별시,강동구,127.1215302,37.54203103
5965336,먹자골목,부산광역시,중구,129.0289066,35.09965923
21085890,수역이마을먹거리촌,경기도,고양시 덕양구,126.841088,37.65466013
21085656,홍대벽화거리,서울특별시,마포구,126.9241978,37.55074516
21085683,워커힐길,서울특별시,광진구,127.1098873,37.55309936
21085553,광명문화의거리,경기도,광명시,126.8686181,37.47529319
8292311,꿈의동산,경기도,가평군,127.4865771,37.78373594
21085525,의정부젊음의거리,경기도,의정부시,127.0503619,37.74216024
21085955,창신동족발골목,서울특별시,종로구,127.0118315,37.57281554
21085532,송내로데오거리,경기도,부천시,126.7526462,37.49009849
17521784,홍대거리,서울특별시,마포구,126.921868,37.55315326
4991002,로데오거리,경기도,고양시 일산동구,126.7697787,37.65992986
20921765,석촌호수카페거리,서울특별시,송파구,127.1066542,37.51058409
21086108,부산연탄불곰장어골목,부산광역시,부산진구,129.0604325,35.16336418
21085613,해운대모텔촌,부산광역시,해운대구,129.1599607,35.16095351
20657437,노량진컵밥거리,서울특별시,동작구,126.9457297,37.51350073
16716382,부속골목,부산광역시,중구,129.0281666,35.09971112
22280038,광안리불고기거리,부산광역시,수영구,129.1143008,35.14894423
21085864,포천이동갈비촌,경기도,포천시,127.3665812,38.03588629
22112746,가실벚꽃길,경기도,용인시 처인구,127.1943924,37.29356204
21085886,여술마을갈매기촌,경기도,성남시 중원구,127.1319816,37.41735401
17522618,연세로,서울특별시,서대문구,126.9368953,37.55701343
21085957,방이동먹자촌,서울특별시,송파구,127.1138409,37.51502699
21085953,남산돈까스골목,서울특별시,중구,126.985772,37.55675213
16845175,고기동오리촌,경기도,용인시 수지구,127.0552361,37.35901703
21085704,청계산길,서울특별시,서초구,127.0517552,37.45241407
21085892,태능갈비골목,경기도,남양주시,127.1072296,37.64876461
6408696,분원리붕어찜마을,경기도,광주시,127.3001212,37.49553011
21085703,등기소길,서울특별시,강남구,127.0515493,37.5098873
21085950,방배동먹자골목,서울특별시,서초구,126.9961215,37.48243888
17738915,금촌로데오거리,경기도,파주시,126.7674551,37.7517887
5614154,삼각지대구탕골목,서울특별시,용산구,126.9748559,37.53438504
20916534,영등포신길동홍어거리,서울특별시,영등포구,126.9116615,37.51064703
21085688,왕벚꽃나무길,서울특별시,금천구,126.8773494,37.47574603
16671705,녹색거리,경기도,의정부시,127.0508993,37.7418105
20842744,감악산먹거리촌,경기도,파주시,126.9427856,37.941266
16846011,천호동문구완구거리,서울특별시,강동구,127.1227483,37.53961894
21085611,문현동골동품거리,부산광역시,남구,129.0649859,35.14326658
21085640,디다보길,부산광역시,부산진구,129.0619118,35.15483944
21085872,대명포구횟타운,경기도,김포시,126.5434487,37.63995453
21085530,수원공방거리,경기도,수원시 팔달구,127.0153363,37.27859214
20868137,장리단길,경기도,하남시,127.207877,37.53995188
22026145,남한산성전통음식마을,경기도,광주시,127.1884558,37.47680483
16179611,노을정휴게소,부산광역시,사하구,128.9606236,35.04961121
22026262,국제음식문화거리,서울특별시,구로구,126.892584,37.50576807
8292649,을숙도공원,부산광역시,사하구,128.9451846,35.11242652
21085597,남천동벚꽃거리,부산광역시,수영구,129.1151894,35.14260648
7311277,남산서울타워,서울특별시,용산구,126.9882077,37.55125917
21085687,마장동벽화마을,서울특별시,성동구,127.0448621,37.56357825
21085516,밤일마을음식문화거리,경기도,광명시,126.8650099,37.45267032
17049790,조명의거리,부산광역시,중구,129.0281633,35.10002528
21085695,우이동엠티촌,서울특별시,강북구,127.0078188,37.66950901
11324754,만물의거리,부산광역시,중구,129.0284685,35.09981244
21086144,은혜로벚꽃길,경기도,평택시,127.0738127,37.06675234
5614153,성신여대패션거리,서울특별시,성북구,127.0179481,37.59205538
7229872,로데오패션타운,서울특별시,영등포구,126.8960949,37.5175096
8292838,한국민속촌,경기도,용인시 기흥구,127.1202775,37.25929032
20277192,이태원거리,서울특별시,용산구,126.9971034,37.53515383
21085664,수족관거리,서울특별시,종로구,127.0142989,37.57073576
8292690,제부도바닷길,경기도,화성시,126.6439391,37.17666137
